overall,reviewText,reviewTime,summary,year,sentiment
4,"Ever since Romance of the 3 Kingdoms first came out on the Nintendo I have been addicted to the series.  While many kids my age at the time were playing Mario and Zelda, I was sitting in front of my TV trying to conquer China with historical figures such as Cao Cao, and Liu Bei.  Needless to say, my friends didn't exactly encourage me to bring the game with me when I came over.

  You would think a series such as this would struggle, especially on consoles.  While it doesn't set sales records by any means, it does have a hardcore following.  Enough in fact that many years later we now have eleven versions of the game.  The tenth version of the game on the ps2 may be the most complex and rewarding, yet it does have a few flaws which annoy at times.

  Romance X is similar to VII, and VIII in the respect that rpg elements are included.  You can still play as a ruler if you so desire, but the ability to play as an officer is also available.  This version is much more in depth in terms of rpg play.  You can choose to be a free officer roaming the land and helping the peasants and nobles who ask you for help.  You can build a rogue army and attack bandits or even weakly defended cities.  Perhaps being a vassal to a certain ruler is more to your liking.  Help your ruler well, and you will gain fame, money and titles.  If you do well enough, he may make you one of his most trusted generals.  Or perhaps he will make you governor of a city, or even his most trusted advisor.  Or maybe you want to rise in the ranks and then betray him and hope your coup works.  Those examples are but a fraction of what the game offers.

  Another great addition to this game is the debate feature.  No longer are those officers with high IQ but poor battle ability completely useless.  The debates are a fun mini-game that is challenging and addictive.  Often times you will need to debate in order to complete certain noble/peasant tasks.  Also, when negotiating with other rulers you may be challenged to a debate.

  The only negative I can fault the game for is the sometimes poor battle AI.  Not to say the battle AI is broken by any means, but I just wish the computer was a bit brighter at times.  Granted, this does have the best battle graphics of the entire series in my opinion, but overall, I believe VII still has the superior battle engine of the ps2 games.  Now to the score breakdown.

Graphics:  8/10  For a strategy game it is quite good.  The best in the series.
Sound  :  7/10  Decent Chinese/classical music, but not the best in the series.
Controls:  9/10  For a strategy game on a console it is very well done.
Replay V: 10/10  Each game is different.  Over 600 characters plus you can create
  over 100 yourself.  Endless replay value.
Overall :  9/10  One of the best in series with some minor flaws.  If you like
  having rpg elements, this and VII are the way to go.  For a
  ruler only ps2 version go with XI.  Happy gaming :)",2010-01-21,One of the best in series,2010,Positive
4,"This is one of those games that is hard to categorize. It's mostly a game that represents the strangeness that gets released in Japan. How it ended up over here is beyond me.

This is a game where you hack, slash, and gun your way through each level to progress. In addition at the end of every level you gain experience points that are applied to your characters, when you reach a level you are given points to distribute into various traits of your characters (Skill, Agility, Health, etc). Essentially it is something like a ""lite"" version of games like Dynasty Warriors and similar hack and slash titles.

The game seems to be a bit more steep in scale than most I've played from such a genre. Case in point, I have played the entire game through Easy and reached around level 37 with the main character. When I played through Normal, I ran into difficulty killing the boss on Chapter 7. I guess this in turn forces you to go back and progress through earlier levels to gain a bit more experience/levels before trying again.

This game is definitely not going to wow experienced players but for a casual gamer it is worth a romp or two. When I first bought the game I played it for a few Chapters then put it down. It wasn't until months later that I invested time in it and started into it again to finish through Easy.

Through the Chapters you'll also unlock clothing, colors, and have options to purchase characters from Xbox Live. Are they worth it? Not really. It's fun for about 2 minutes. Add to the fact that the younger sister in this looks way to young to be viewing in her underwear, you're left feeling dirty attempting to dress her. Pretty much Lolicon fanserve to the pervs.

This game's fun for a run through if but to experience it's entire storyline but only the hardcore gamer would stick around to continue opening additional stuff. Definitely rent before investing much into it.

If they make a sequal to this, hopefully they'll improve the game mechanics and make it more playable.",2010-12-01,Not the greatest game out there but it's got potential.,2010,Neutral
5,I LOVE THIS GAME. I PLAY TI EVERYDAY EVEN THOUGH I ALREADY BEAT IT!! ITS ALOT OF FUN. I WOULD DEFINATELY PURCHASE FROM THIS SELLER AGAIN. PRODUCT CAME IN GOOD TIMING!!,2010-04-15,AWESOME!!!!!!!,2010,Positive
2,"Here is a game with all the trappings of a hit that was to go down smooth - only to turn out the hit was nothing but a setup. And the supposed marks are the ones pulling the strings. Would a made man allow this to happen?

THREADBARE UNDERSHIRTS UNDER FLASHY SILK SUITS
The first thing that grabs you is how dull the graphics look once the (well-done) cinematics end. On top of that, it is not that the environments are badly designed, it is that the same patterns are used over and over resulting in...chain deja-vue episodes. This cookie-cutter approach could had made it easier to get lost - unfortunately, there is not even a chance for that.

FOLLOW THE SCRIPT OR ELSE, CAPICE?
If you enjoyed the freedom experienced in the GTA series, well, do not expect anything close to that degree of sandbox roaming. This a linear game only set on an open-looking background. Which, once more, shows that looks were considered more important than substance. And if you make a mistake and have to reload, be prepared to replay quite a long sequence because this is yet another game with only an autosaving option - and, once more, 2K behaves as if autosaving points are charged by the unit.

JUST KEEP MAKING THE ROUNDS PAISANO!
The next disappointment is how repetitive the gameplay itself is. ""Great fighting mechanics"" means all of two options: hitting or backstepping. Whereas, ""realistic driving"" means that your cars handle like boats - and you will still get killed once those 1940's-Detroit death-traps hit a wall or a tree. Realistic? Sure. But fun? Veramente not! All the mini-games and the money-worries are simply too trivial and half-baked to save the day. Fight-by-numbers made it to the big leagues...

NICE SHADES MAN, BUT CAN YOU SEE THROUGH THEM?
As if all of the above were not enough, the camera placement was so bad it reminded me of the notorious NEVERWINTER NIGHTS days. And sometimes, this turns more into a spectacle than a game.

VITO! CLOSE THOSE SHUTTERS NOW!
I always had a problem with censorship boards (from totalitarian censorship bureaus to Nielsen ratings) but, at the same time, I do respect the rights of parents to raise their children as they see fit. Well, MAFIA II will manage to enrage both sides of the generation gap. If the slow-news days keep up, expect some ""outraged"" news-reports on the content of this game before school begins. True, there are numerous instances in which this game justifies its MATURE (17+) rating - but this hardly makes it an adult game. Like a Dutch school painting of children looking like smaller adults, MAFIA II offers the juvenile version of a grownup world. I very much doubt that any teenager (which obviously is the target demographic for this game) will be impressed.

And for all this ...fun, we still have to activate the game and tie to permanently to a STEAM account. This is clearly not one of those game you would want to keep, so shouldn't you be able to resell it? Well, 2K GAMES thinks not. You can now make your decision accordingly.

My advice: pass on this infamnia and, instead, get your Mafia fix from a good old&nbsp;<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/Godfather-Trilogy/dp/B00003CXAA/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Godfather Trilogy</a>&nbsp;weekend.

This game is so bad it almost enters cult territory.
But it is also boring so it fails to even do that.",2010-08-24,IT WANTS ITS CUT JUST FOR DRIVING AROUND,2010,Negative
5,"This game is alot of fun, and creepy. Alot of people complain about AI in video games, but I think the AI in this game is awsome. My Ai teamates were usally always ahead of me and would spot things I didn't And your the one to lead the way, which is better than if you were playing two players. It was alot of fun, even just playing single player.",2010-05-08,Like Call of Duty but with Zombies,2010,Positive
5,"Final Fantasy Tactics:

As a kid I could not fully understand the creativity, originality, and nostalgia that FFT gave it's audience so I did what every punk did and trade the gem or sell it at a yard sale along with my melted G.I. Joes, padded knunchucks, and a smashed up Remote Control Cars.  Years later I found myself missing something in my life... walking past my 5th dunkin donuts it came to me, I needed caffeine... no that wasn't it, maybe it was the jingle jangles of the near by homeless man's tin can asking for change that sparked my memory as I fantasized about how that man's can turned into a whoopin stick, earning Experience points as he smacked sense into every coach bag toten, super skinny jean wearing stuck up jerk. Poor man just needed a few coins to get by and your on a rush to get home to video blog how you totally walked 2miles today listening to your William Hung's motivational speech... ""You Bang You Bang"".  Inspired by the mad man's rants and tin can lullaby, I high fived the side walk prophet with a double cheese burger and hoped on Amazon.com to see if I could purchase this gem-bot. Not only did I receive self gratification from the games glow as I opened the package, I knew that I had just purchased a timeless video game art piece, a collectors item in which my children will be forced to play if they wanted to be cool.

Games legit, go buy it.

more random reviews at [...]",2010-11-16,An Instant Classic,2010,Positive
3,"I bought this keyboard on impulse, because I wanted a keyboard with a smaller footprint than my original Logitech G15. Disappointed. I'll be brief.

Good:
 * Nice soft feel to the keys, good for touch typing
 * Shiny laser cut logo that softly glows on and off
 * programmable macro keys that can be used without installing any drivers

Bad:
 * programmable macro keys share keyboard with regular keys
 * poor reliability
 * distracting flickering logo

As it turns out, it uses almost as much space as the G15. After a month or so of use, some of the keys do not always work on the first try. (corrosion?) The glowing logo on the keyboard sometimes flickers, which is distracting while I'm gaming. It can not be turned off. The keyboard shows up as one device in windows, so you can not use the macro keys while holding down other keys--for example, in an MMO you can't switch spells while running away using a macro, without letting go of W for a second.

The one advantage of this keyboard is that the macros are held in-memory in the keyboard, so you can plug it in to a PS3 or computer that does not have any drivers and use macros in games where they are forbidden. And it looks pretty cool, I guess, although blue LEDs and laser-cut logos are so y2k, you know what I'm saying?

In short, it's a cheaply built keyboard for MMO cheaters, that favors style over performance in every way.",2010-09-20,A keyboard for cheaters!,2010,Negative
3,"To be sure, Street Fighter 4, in terms of its technical offerings and aesthetics is the best of the entire Street Fighter lineage.  Granted, I haven't played every variation of the street fighter series, but I've seen them all and SF4 offers the most modern and fully featured version of the game to date.  As has been mentioned by other reviewers, the game features lush backgrounds, fairly well-rendered characters, a fairly good musical score, and a wide assortment of playing styles and characters.  However, SF4's glaing weakness -- and this is no small thing -- is the ridiculous disparity between the effectiveness of its characters.  Secondarily, the game just isn't very deep, but I'll get to that a little later.

Realistically, it seems impossible that a virtue like a well balanced characters set would be ignored or mishandled to the extent that it is, but alas, this is the case.  This major flaw has a debilitating twin effect.  1)  As an online player, you'll find yourself running into the same overused characters constantly: Ryu, Sagat, Ken, Zangief.  This is somewhat understandable since these are easily the best characters in the game (even among these top tier characters, Ryu and Sagat stand out as clearly better than the rest).  This means if you don't enjoy playing one of these characters, you can expect a losing record against them all.  Sorry, but if you're in a Beamer, you're not going to beat a guy in a Ferrari.  So, in playing with a lesser character, you'll struggle to improve, tighten up your game, and eventually come to the frustrating realization that because of your character's built-in weaknesses and/or highly context specific move-set, you'll often come up against another player of similar or equal skill who uses a better character.  2) For players not choosing these characters, you're then faced with two bad choices: picking a character you like and losing consistently to the game's overpowered characters, or choosing one of them, and using the same routine and repititive tactics everyone else is using to win.  Clearly, neither option is ideal or agreeable since better game design would've prevented this dilemma.  As a corollary to this, when you do happen to play rarely-chosen, lower tier character, there's a bit of unfamiliarity working its way into the match, and so you'll face the difficulty of a fairly novel match-up.  This is of course frustrating as well, albeit for different reasons.

Also, as mentioned earlier, the game has a peculiar lack of depth and variety.  Some may argue that each characters has several moves, some of which require real skill and practice and timing to pull off consistently, and in the right situations.  While this is true, it's also apparent that gameplay at the higher levels is virtually always compressed into the same kind of predictable struggles over and over again.  If you're a projectile player, the game bsaically dictates that you MUST hurl projectile after projectile to get the other player jumping and inching towards you, at which point you must strike them out of the air if possible.  For each character, there is of course a variation in strategy because of the differing move-sets, but essentially there's very little creativity or options in SF4 as the total number of possibilities is quickly condensed down to the very few strategies that actually work.  Again, this set of circumstances is the result of fairly linear thinking with respect to game design.

For all its faults though, SF4 does somehow manage to be quite addictive, even though, ironically, the gaming experience itself doesn't warrant the amount of time devoted.  I suppose this strange paradox, however, does earn its developer, Capcom, some credit.",2010-01-16,Suffers from serious character imbalances,2010,Negative
5,I finally got this game today after much anticipation. The graphics are very good and the game play is a lot of fun as well. I work long hours so this is the perfect game to play after work. The areas to explore are massive and I just started. I'm looking forward to what comes next.,2010-03-11,Great relaxing game!,2010,Positive
4,"This is a great game! Fun to play online (potentially at least), and fun to play on splitscreen, too,

I just love the Mario Kart with real cars and places concept. I got almost everything I was expecting out of it. Maybe the car roster wasn't as rich as I hoped (okay, that just means it doesn't feature the Subaru Impreza STI, nor the Aston Martins), but still you get your Camaros, Corvettes, BMWs, Mustangs, etc.

I say give it a shot. You'll have a ton of fun.

I'll also say that after over 5 years of playing Trackmania on a weekly basis, this game is at fault for finally making me quit the habit.",2010-12-13,Lots of underappreciated fun!,2010,Positive
